NO.,Date,Origin Time (UTC),Latitude,Longitude,Depth(Km),Magnitude(degree),Location
1,1/1/22,0:44:36,35.2476,46.6088,15,2.2,Naji -  Kurdistan - Iran
2,1/1/22,11:40:42,35.868,45.8951,15,3.1,Kolah Dul  -  Iran
3,1/1/22,11:44:16,35.9398,45.981,8,2.3,Baneh - Iran 
4,1/1/22,22:15:00,35.6183,45.9322,15,2.6,Penjwin - Sulaymanyah
5,3/1/22,8:19:11,34.724,46.2726,15,2.2,Kermanshah  - Iran
6,3/1/22,13:47:14,35.1606,44.9627,5,2.3, Qadir Karami Taze - Chamchamal
7,3/1/22,14:14:48,35.1199,44.9941,5,2.4,Tilaku - Chamchamal
8,3/1/22,18:42:38,35.1433,44.9458,5,2.5, Qadir Karami Taze - Chamchamal
9,4/1/22,8:50:36,36.1327,45.3748,10,2.6,West Azerbaijan - Iran
10,4/1/22,9:33:41,34.8009,45.6601,5,2.6,Haji Lar -Khanaqin - Garmian
11,4/1/22,10:54:49,35.1007,45.6653,5,2.2,Darbandikhan - Sulaymanyah
12,4/1/22,12:24:36,34.994,45.4432,5,2.3,Bustana - Kalar - Garmian
13,5/1/22,1:09:35,34.3233,45.7798,5,3.9,Kermanshah  - Iran
14,5/1/22,2:14:21,34.5757,45.546,5,2.5,Kermanshah  - Iran
15,5/1/22,14:32:33,36.0009,46.0625,10,2.4,Baneh - Iran 
16,6/1/22,16:21:34,34.755,45.0781,5,2.4, Sar Qal'ah - Kifri - Garmian
17,6/1/22,23:28:10,33.2372,43.0481,11.3,3.9, Abu el Jir - Ramadi
18,6/1/22,23:45:17,34.5046,45.6751,15,2.2,Kermanshah  - Iran
19,7/1/22,6:01:43,34.9862,44.7885,15,2.4,Shaikh Hawaz - Tooz
20,7/1/22,22:27:01,35.6903,45.6557,12,2.2,Zalan - Sharbazher  - Sulaymanyah
21,7/1/22,22:34:32,36.0185,45.8424,11,1.8,Baneh - Iran 
22,7/1/22,22:57:34,36.0384,45.8529,10.7,2,Baneh - Iran 
23,8/1/22,0:00:34,36.0717,45.8666,10,1.9,Baneh - Iran 
24,8/1/22,0:53:14,36.0442,45.8499,10.7,2,Baneh - Iran 
